날짜,검색량
2022-09-04,6
2022-09-11,2
2022-09-18,1
2022-09-25,2
2022-10-02,0
2022-10-09,2
2022-10-16,0
2022-10-23,2
2022-10-30,5
2022-11-06,3
2022-11-13,0
2022-11-20,4
2022-11-27,2
2022-12-04,3
2022-12-11,4
2022-12-18,3
2022-12-25,0
2023-01-01,2
2023-01-08,2
2023-01-15,2
2023-01-22,2
2023-01-29,2
2023-02-05,0
2023-02-12,3
2023-02-19,0
2023-02-26,0
2023-03-05,3
2023-03-12,4
2023-03-19,1
2023-03-26,1
2023-04-02,5
2023-04-09,6
2023-04-16,5
2023-04-23,19
2023-04-30,26
2023-05-07,29
2023-05-14,26
2023-05-21,46
2023-05-28,60
2023-06-04,38
2023-06-11,40
2023-06-18,39
2023-06-25,32
2023-07-02,31
2023-07-09,100
2023-07-16,91
2023-07-23,75
2023-07-30,70
2023-08-06,58
2023-08-13,55
2023-08-20,71
2023-08-27,50
