지점,지점명,일시,기온(°C),기온 QC플래그
108,서울,2023-08-11 00:01,21.6,0
108,서울,2023-08-11 00:02,21.6,0
108,서울,2023-08-11 00:03,21.6,0
108,서울,2023-08-11 00:04,21.6,0
108,서울,2023-08-11 00:05,21.6,0
108,서울,2023-08-11 00:06,21.6,0
108,서울,2023-08-11 00:07,21.6,0
108,서울,2023-08-11 00:08,21.6,0
108,서울,2023-08-11 00:09,21.6,0
108,서울,2023-08-11 00:10,21.6,0
108,서울,2023-08-11 00:11,21.6,0
108,서울,2023-08-11 00:12,21.6,0
108,서울,2023-08-11 00:13,21.6,0
108,서울,2023-08-11 00:14,21.7,0
108,서울,2023-08-11 00:15,21.7,0
108,서울,2023-08-11 00:16,21.7,0
108,서울,2023-08-11 00:17,21.7,0
108,서울,2023-08-11 00:18,21.7,0
108,서울,2023-08-11 00:19,21.7,0
108,서울,2023-08-11 00:20,21.7,0
108,서울,2023-08-11 00:21,21.7,0
108,서울,2023-08-11 00:22,21.7,0
108,서울,2023-08-11 00:23,21.7,0
108,서울,2023-08-11 00:24,21.7,0
108,서울,2023-08-11 00:25,21.8,0
108,서울,2023-08-11 00:26,21.8,0
108,서울,2023-08-11 00:27,21.8,0
108,서울,2023-08-11 00:28,21.8,0
108,서울,2023-08-11 00:29,21.8,0
108,서울,2023-08-11 00:30,21.8,0
108,서울,2023-08-11 00:31,21.8,0
108,서울,2023-08-11 00:32,21.8,0
108,서울,2023-08-11 00:33,21.8,0
108,서울,2023-08-11 00:34,21.8,0
108,서울,2023-08-11 00:35,21.8,0
108,서울,2023-08-11 00:36,21.8,0
108,서울,2023-08-11 00:37,21.8,0
108,서울,2023-08-11 00:38,21.8,0
108,서울,2023-08-11 00:39,21.8,0
108,서울,2023-08-11 00:40,21.8,0
108,서울,2023-08-11 00:41,21.8,0
108,서울,2023-08-11 00:42,21.8,0
108,서울,2023-08-11 00:43,21.8,0
108,서울,2023-08-11 00:44,21.8,0
108,서울,2023-08-11 00:45,21.8,0
108,서울,2023-08-11 00:46,21.8,0
108,서울,2023-08-11 00:47,21.8,0
108,서울,2023-08-11 00:48,21.8,0
108,서울,2023-08-11 00:49,21.8,0
108,서울,2023-08-11 00:50,21.8,0
108,서울,2023-08-11 00:51,21.9,0
108,서울,2023-08-11 00:52,21.9,0
108,서울,2023-08-11 00:53,21.9,0
108,서울,2023-08-11 00:54,21.9,0
108,서울,2023-08-11 00:55,21.9,0
108,서울,2023-08-11 00:56,21.9,0
108,서울,2023-08-11 00:57,21.9,0
108,서울,2023-08-11 00:58,21.9,0
108,서울,2023-08-11 00:59,21.9,0
108,서울,2023-08-11 01:00,21.9,0
108,서울,2023-08-11 01:01,21.9,0
108,서울,2023-08-11 01:02,21.9,0
108,서울,2023-08-11 01:03,21.9,0
108,서울,2023-08-11 01:04,21.9,0
108,서울,2023-08-11 01:05,22,0
108,서울,2023-08-11 01:06,22,0
108,서울,2023-08-11 01:07,22,0
108,서울,2023-08-11 01:08,22,0
108,서울,2023-08-11 01:09,22,0
108,서울,2023-08-11 01:10,22,0
108,서울,2023-08-11 01:11,22,0
108,서울,2023-08-11 01:12,22,0
108,서울,2023-08-11 01:13,22,0
108,서울,2023-08-11 01:14,22,0
108,서울,2023-08-11 01:15,22,0
108,서울,2023-08-11 01:16,22,0
108,서울,2023-08-11 01:17,22,0
108,서울,2023-08-11 01:18,22,0
108,서울,2023-08-11 01:19,22,0
108,서울,2023-08-11 01:20,22,0
108,서울,2023-08-11 01:21,22,0
108,서울,2023-08-11 01:22,22,0
108,서울,2023-08-11 01:23,22,0
108,서울,2023-08-11 01:24,22,0
108,서울,2023-08-11 01:25,22,0
108,서울,2023-08-11 01:26,22,0
108,서울,2023-08-11 01:27,22,0
108,서울,2023-08-11 01:28,22,0
108,서울,2023-08-11 01:29,22,0
108,서울,2023-08-11 01:30,22,0
108,서울,2023-08-11 01:31,22,0
108,서울,2023-08-11 01:32,22,0
108,서울,2023-08-11 01:33,22,0
108,서울,2023-08-11 01:34,22,0
108,서울,2023-08-11 01:35,22,0
108,서울,2023-08-11 01:36,22,0
108,서울,2023-08-11 01:37,22.1,0
108,서울,2023-08-11 01:38,22,0
108,서울,2023-08-11 01:39,22,0
108,서울,2023-08-11 01:40,22,0
108,서울,2023-08-11 01:41,22,0
108,서울,2023-08-11 01:42,22,0
108,서울,2023-08-11 01:43,22,0
108,서울,2023-08-11 01:44,22,0
108,서울,2023-08-11 01:45,22,0
108,서울,2023-08-11 01:46,22,0
108,서울,2023-08-11 01:47,22,0
108,서울,2023-08-11 01:48,22,0
108,서울,2023-08-11 01:49,22,0
108,서울,2023-08-11 01:50,22,0
108,서울,2023-08-11 01:51,22,0
108,서울,2023-08-11 01:52,22,0
108,서울,2023-08-11 01:53,22,0
108,서울,2023-08-11 01:54,22,0
108,서울,2023-08-11 01:55,22,0
108,서울,2023-08-11 01:56,22.1,0
108,서울,2023-08-11 01:57,22.1,0
108,서울,2023-08-11 01:58,22.1,0
108,서울,2023-08-11 01:59,22.1,0
108,서울,2023-08-11 02:00,22.1,0
108,서울,2023-08-11 02:01,22.1,0
108,서울,2023-08-11 02:02,22.1,0
108,서울,2023-08-11 02:03,22.1,0
108,서울,2023-08-11 02:04,22.1,0
108,서울,2023-08-11 02:05,22.1,0
108,서울,2023-08-11 02:06,22.1,0
108,서울,2023-08-11 02:07,22.1,0
108,서울,2023-08-11 02:08,22.1,0
108,서울,2023-08-11 02:09,22.1,0
108,서울,2023-08-11 02:10,22.1,0
108,서울,2023-08-11 02:11,22.1,0
108,서울,2023-08-11 02:12,22.1,0
108,서울,2023-08-11 02:13,22.1,0
108,서울,2023-08-11 02:14,22.1,0
108,서울,2023-08-11 02:15,22,0
108,서울,2023-08-11 02:16,22,0
108,서울,2023-08-11 02:17,22,0
108,서울,2023-08-11 02:18,22,0
108,서울,2023-08-11 02:19,22,0
108,서울,2023-08-11 02:20,22,0
108,서울,2023-08-11 02:21,22,0
108,서울,2023-08-11 02:22,22,0
108,서울,2023-08-11 02:23,22,0
108,서울,2023-08-11 02:24,22,0
108,서울,2023-08-11 02:25,22,0
108,서울,2023-08-11 02:26,22,0
108,서울,2023-08-11 02:27,22,0
108,서울,2023-08-11 02:28,22,0
108,서울,2023-08-11 02:29,22,0
108,서울,2023-08-11 02:30,22,0
108,서울,2023-08-11 02:31,22,0
108,서울,2023-08-11 02:32,22,0
108,서울,2023-08-11 02:33,22,0
108,서울,2023-08-11 02:34,22,0
108,서울,2023-08-11 02:35,22,0
108,서울,2023-08-11 02:36,22,0
108,서울,2023-08-11 02:37,22,0
108,서울,2023-08-11 02:38,22,0
108,서울,2023-08-11 02:39,22,0
108,서울,2023-08-11 02:40,22,0
108,서울,2023-08-11 02:41,22,0
108,서울,2023-08-11 02:42,22,0
108,서울,2023-08-11 02:43,22,0
108,서울,2023-08-11 02:44,22,0
108,서울,2023-08-11 02:45,22,0
108,서울,2023-08-11 02:46,22,0
108,서울,2023-08-11 02:47,22,0
108,서울,2023-08-11 02:48,22,0
108,서울,2023-08-11 02:49,22,0
108,서울,2023-08-11 02:50,22,0
108,서울,2023-08-11 02:51,22,0
108,서울,2023-08-11 02:52,22,0
108,서울,2023-08-11 02:53,22,0
108,서울,2023-08-11 02:54,22,0
108,서울,2023-08-11 02:55,22,0
108,서울,2023-08-11 02:56,22,0
108,서울,2023-08-11 02:57,22,0
108,서울,2023-08-11 02:58,22,0
108,서울,2023-08-11 02:59,22,0
108,서울,2023-08-11 03:00,22,0
108,서울,2023-08-11 03:01,21.9,0
108,서울,2023-08-11 03:02,21.9,0
108,서울,2023-08-11 03:03,21.9,0
108,서울,2023-08-11 03:04,21.9,0
108,서울,2023-08-11 03:05,21.9,0
108,서울,2023-08-11 03:06,21.9,0
108,서울,2023-08-11 03:07,21.9,0
108,서울,2023-08-11 03:08,21.9,0
108,서울,2023-08-11 03:09,21.9,0
108,서울,2023-08-11 03:10,21.9,0
108,서울,2023-08-11 03:11,21.9,0
108,서울,2023-08-11 03:12,21.9,0
108,서울,2023-08-11 03:13,22,0
108,서울,2023-08-11 03:14,22,0
108,서울,2023-08-11 03:15,21.9,0
108,서울,2023-08-11 03:16,21.9,0
108,서울,2023-08-11 03:17,22,0
108,서울,2023-08-11 03:18,21.9,0
108,서울,2023-08-11 03:19,22,0
108,서울,2023-08-11 03:20,22,0
108,서울,2023-08-11 03:21,21.9,0
108,서울,2023-08-11 03:22,22,0
108,서울,2023-08-11 03:23,21.9,0
108,서울,2023-08-11 03:24,21.9,0
108,서울,2023-08-11 03:25,21.9,0
108,서울,2023-08-11 03:26,21.9,0
108,서울,2023-08-11 03:27,21.9,0
108,서울,2023-08-11 03:28,21.9,0
108,서울,2023-08-11 03:29,21.9,0
108,서울,2023-08-11 03:30,21.9,0
108,서울,2023-08-11 03:31,21.9,0
108,서울,2023-08-11 03:32,21.9,0
108,서울,2023-08-11 03:33,21.9,0
108,서울,2023-08-11 03:34,21.9,0
108,서울,2023-08-11 03:35,21.9,0
108,서울,2023-08-11 03:36,22,0
108,서울,2023-08-11 03:37,22,0
108,서울,2023-08-11 03:38,22,0
108,서울,2023-08-11 03:39,22,0
108,서울,2023-08-11 03:40,22,0
108,서울,2023-08-11 03:41,22,0
108,서울,2023-08-11 03:42,21.9,0
108,서울,2023-08-11 03:43,22,0
108,서울,2023-08-11 03:44,22,0
108,서울,2023-08-11 03:45,21.9,0
108,서울,2023-08-11 03:46,21.9,0
108,서울,2023-08-11 03:47,22,0
108,서울,2023-08-11 03:48,22,0
108,서울,2023-08-11 03:49,22,0
108,서울,2023-08-11 03:50,22,0
108,서울,2023-08-11 03:51,22,0
108,서울,2023-08-11 03:52,22,0
108,서울,2023-08-11 03:53,22,0
108,서울,2023-08-11 03:54,21.9,0
108,서울,2023-08-11 03:55,22,0
108,서울,2023-08-11 03:56,22,0
108,서울,2023-08-11 03:57,22,0
108,서울,2023-08-11 03:58,22,0
108,서울,2023-08-11 03:59,22,0
108,서울,2023-08-11 04:00,22,0
108,서울,2023-08-11 04:01,22,0
108,서울,2023-08-11 04:02,22,0
108,서울,2023-08-11 04:03,22,0
108,서울,2023-08-11 04:04,22,0
108,서울,2023-08-11 04:05,22,0
108,서울,2023-08-11 04:06,22,0
108,서울,2023-08-11 04:07,22,0
108,서울,2023-08-11 04:08,22,0
108,서울,2023-08-11 04:09,22,0
108,서울,2023-08-11 04:10,22,0
108,서울,2023-08-11 04:11,22,0
108,서울,2023-08-11 04:12,22,0
108,서울,2023-08-11 04:13,22,0
108,서울,2023-08-11 04:14,22,0
108,서울,2023-08-11 04:15,22,0
108,서울,2023-08-11 04:16,22,0
108,서울,2023-08-11 04:17,22,0
108,서울,2023-08-11 04:18,22,0
108,서울,2023-08-11 04:19,22,0
108,서울,2023-08-11 04:20,22,0
108,서울,2023-08-11 04:21,22,0
108,서울,2023-08-11 04:22,22,0
108,서울,2023-08-11 04:23,22,0
108,서울,2023-08-11 04:24,22,0
108,서울,2023-08-11 04:25,22,0
108,서울,2023-08-11 04:26,22,0
108,서울,2023-08-11 04:27,22,0
108,서울,2023-08-11 04:28,22,0
108,서울,2023-08-11 04:29,22,0
108,서울,2023-08-11 04:30,22,0
108,서울,2023-08-11 04:31,22,0
108,서울,2023-08-11 04:32,22.1,0
108,서울,2023-08-11 04:33,22.1,0
108,서울,2023-08-11 04:34,22.1,0
108,서울,2023-08-11 04:35,22.1,0
108,서울,2023-08-11 04:36,22.1,0
108,서울,2023-08-11 04:37,22.1,0
108,서울,2023-08-11 04:38,22.1,0
108,서울,2023-08-11 04:39,22.1,0
108,서울,2023-08-11 04:40,22.1,0
108,서울,2023-08-11 04:41,22.1,0
108,서울,2023-08-11 04:42,22.1,0
108,서울,2023-08-11 04:43,22.1,0
108,서울,2023-08-11 04:44,22.1,0
108,서울,2023-08-11 04:45,22.1,0
108,서울,2023-08-11 04:46,22.1,0
108,서울,2023-08-11 04:47,22.1,0
108,서울,2023-08-11 04:48,22.1,0
108,서울,2023-08-11 04:49,22.1,0
108,서울,2023-08-11 04:50,22.1,0
108,서울,2023-08-11 04:51,22.1,0
108,서울,2023-08-11 04:52,22.2,0
108,서울,2023-08-11 04:53,22.2,0
108,서울,2023-08-11 04:54,22.2,0
108,서울,2023-08-11 04:55,22.2,0
108,서울,2023-08-11 04:56,22.2,0
108,서울,2023-08-11 04:57,22.2,0
108,서울,2023-08-11 04:58,22.2,0
108,서울,2023-08-11 04:59,22.2,0
108,서울,2023-08-11 05:00,22.3,0
108,서울,2023-08-11 05:01,22.3,0
108,서울,2023-08-11 05:02,22.3,0
108,서울,2023-08-11 05:03,22.3,0
108,서울,2023-08-11 05:04,22.3,0
108,서울,2023-08-11 05:05,22.4,0
108,서울,2023-08-11 05:06,22.4,0
108,서울,2023-08-11 05:07,22.4,0
108,서울,2023-08-11 05:08,22.4,0
108,서울,2023-08-11 05:09,22.4,0
108,서울,2023-08-11 05:10,22.4,0
108,서울,2023-08-11 05:11,22.5,0
108,서울,2023-08-11 05:12,22.5,0
108,서울,2023-08-11 05:13,22.5,0
108,서울,2023-08-11 05:14,22.5,0
108,서울,2023-08-11 05:15,22.5,0
108,서울,2023-08-11 05:16,22.4,0
108,서울,2023-08-11 05:17,22.4,0
108,서울,2023-08-11 05:18,22.4,0
108,서울,2023-08-11 05:19,22.4,0
108,서울,2023-08-11 05:20,22.4,0
108,서울,2023-08-11 05:21,22.4,0
108,서울,2023-08-11 05:22,22.4,0
108,서울,2023-08-11 05:23,22.4,0
108,서울,2023-08-11 05:24,22.4,0
108,서울,2023-08-11 05:25,22.4,0
108,서울,2023-08-11 05:26,22.4,0
108,서울,2023-08-11 05:27,22.4,0
